idx,norm_text,phones,tokens,t_textfront_ms,t_ar_ms,t_sov_ms,t_wait_ms,audio_frames,hit_eos
0,"重庆的火锅店终于开张了,",23,63,56.115,580.279,315.519,0.034,80640,1
1,"毛肚脆爽,",9,37,44.717,735.837,243.655,591.876,47360,1
2,"牛油翻滚.",9,37,36.357,820.794,262.306,1336.172,47360,1
3,"老板娘招呼客人入座,",19,48,64.472,757.011,254.570,2128.948,61440,1
4,"九宫格里红汤沸腾.",17,66,74.027,788.601,310.502,2820.399,84480,1
5,"夜色渐深,",8,29,262.251,577.269,124.374,3376.225,37120,1
6,"街边灯火通明,",13,37,268.664,761.207,259.552,3910.798,47360,1
7,"食客们的谈笑声此起彼伏.",23,74,89.406,983.910,345.441,4352.130,94720,1
8,"这才是山城独有的烟火气,",23,63,89.108,854.412,300.202,4598.711,80640,1
9,"麻辣鲜香暖到心底.",17,51,90.275,734.674,223.745,4631.281,65280,1
10,"吃完火锅,",9,32,499.070,536.786,184.270,4201.977,40960,1
11,"再来一碗冰粉解辣,",17,45,81.807,592.607,195.080,4367.348,57600,1
12,"惬意的生活不过如此.",19,55,92.681,669.818,235.112,4371.844,70400,1
