idx,norm_text,phones,tokens,t_textfront_ms,t_ar_ms,t_sov_ms,t_wait_ms,audio_frames,hit_eos
0,"重庆的火锅店终于开张了,",23,63,50.802,350.518,310.570,0.024,80640,1
1,"毛肚脆爽,",9,37,38.181,486.180,152.398,363.316,47360,1
2,"牛油翻滚.",9,37,35.801,361.524,166.760,851.979,47360,1
3,"老板娘招呼客人入座,",19,48,56.971,420.940,247.915,1192.422,61440,1
4,"九宫格里红汤沸腾.",17,66,74.257,540.504,306.340,1545.386,84480,1
5,"夜色渐深,",8,29,66.982,462.232,120.885,2055.140,37120,1
6,"街边灯火通明,",13,37,76.082,345.066,153.749,2472.545,47360,1
7,"食客们的谈笑声此起彼伏.",23,74,81.780,496.503,323.595,2535.314,94720,1
8,"这才是山城独有的烟火气,",23,63,72.974,584.810,271.842,2554.515,80640,1
9,"麻辣鲜香暖到心底.",17,51,77.304,517.655,209.745,2773.538,65280,1
10,"吃完火锅,",9,32,65.141,396.272,179.903,2882.423,40960,1
11,"再来一碗冰粉解辣,",17,45,72.253,432.314,183.723,2730.998,57600,1
12,"惬意的生活不过如此.",19,55,79.000,444.625,226.385,2694.369,70400,1
