idx,norm_text,phones,tokens,t_textfront_ms,t_ar_ms,t_sov_ms,t_wait_ms,audio_frames,hit_eos
0,"重庆的火锅店终于开张了,",23,63,71.613,379.581,345.333,0.021,80640,1
1,"毛肚脆爽,",9,37,44.874,495.461,172.005,406.495,47360,1
2,"牛油翻滚.",9,37,35.511,381.384,171.939,911.421,47360,1
3,"老板娘招呼客人入座,",19,48,63.383,424.929,264.443,1265.032,61440,1
4,"九宫格里红汤沸腾.",17,66,60.998,563.854,327.955,1620.856,84480,1
5,"夜色渐深,",8,29,65.600,468.066,135.015,2135.370,37120,1
6,"街边灯火通明,",13,37,71.169,354.552,170.359,2562.438,47360,1
7,"食客们的谈笑声此起彼伏.",23,74,77.446,520.313,356.339,2611.452,94720,1
8,"这才是山城独有的烟火气,",23,63,77.868,621.780,302.735,2635.962,80640,1
9,"麻辣鲜香暖到心底.",17,51,76.070,535.936,221.951,2878.210,65280,1
10,"吃完火锅,",9,32,70.719,437.582,197.705,2994.575,40960,1
11,"再来一碗冰粉解辣,",17,45,64.767,445.795,193.988,2874.167,57600,1
12,"惬意的生活不过如此.",19,55,79.519,470.151,230.598,2837.183,70400,1
